NUMBER	X_IMAGE	Y_IMAGE	RA	DEC	A_IMAGE	B_IMAGE	THETA_IMAGE	ELLIPTICITY	FLUX_AUTO	FLUXERR_AUTO	MAG_AUTO	MAGERR_AUTO	KRON_RADIUS	R_EFF_PIX	R_EFF_ARCSEC	MU_EFF	SNR_TOTAL	FLUX_APER_5	FLUX_APER_10	FLUX_APER_20	FLUX_APER_40	SERSIC_N	SERSIC_RE	SERSIC_CHI2	MAG_SERSIC	MU_EFF_SERSIC	LSBG_CONF	LSBG_GRADE	FLAGS	LABEL	MATCH_INFO
178	6827.338	3244.806	21.2411754	-1.3831029	10.233	6.831	-57.497	0.3324	7.575841e+02	1.821471e+02	22.8014	0.2610	3.500	10.002	2.6305	27.4217	4.159	2.699451e+01	2.333591e+02	4.791826e+02	4.125494e+02	0.360	14.022	3.461	23.1502	27.1791	0.410	C	16	0	unmatched_412.53
179	3346.129	3239.860	21.4955707	-1.3834679	10.484	3.399	70.851	0.6758	2.157043e+03	1.601611e+02	21.6654	0.0806	3.500	21.175	5.5691	28.1892	13.468	7.157731e+01	3.049182e+02	4.908964e+02	1.431905e+03	0.460	5.495	3.431	23.7672	25.6175	0.381	C	0	0	unmatched_156.34
180	671.459	3261.143	21.6910246	-1.3818972	10.516	4.571	86.192	0.5653	9.311187e+03	2.327484e+02	20.0775	0.0271	4.556	13.778	3.6236	27.3858	40.005	3.718866e+01	3.409102e+02	6.128689e+02	1.113317e+03	NaN	NaN	NaN	NaN	NaN	0.437	C	0	0	unmatched_227.42
181	2261.141	3262.245	21.5748577	-1.3818280	9.979	7.773	-44.528	0.2211	3.027895e+03	2.149386e+02	21.2971	0.0771	3.500	12.984	3.4148	27.6949	14.087	3.067353e+01	2.017686e+02	5.006135e+02	9.659954e+02	0.360	34.535	2.739	22.8572	27.4229	0.493	C	0	0	unmatched_76.14
182	5726.510	3271.233	21.3216202	-1.3811764	9.356	5.710	-16.601	0.3897	3.928557e+03	1.873567e+02	21.0144	0.0518	3.500	9.785	2.5734	26.1846	20.968	2.719328e+02	7.159453e+02	1.117197e+03	2.637015e+03	0.360	38.152	4.808	21.1942	26.2950	0.608	B	0	0	unmatched_165.66
183	6389.369	3244.809	21.2731806	-1.3831047	10.834	4.185	75.122	0.6137	5.030998e+03	1.629877e+02	20.7459	0.0352	3.500	10.732	2.8224	25.3822	30.867	1.013809e+03	1.723064e+03	1.920876e+03	4.622261e+03	0.645	5.018	4.948	21.9261	24.1670	0.510	B	0	0	unmatched_312.35
184	6397.923	3271.988	21.2725557	-1.3811190	10.239	4.040	-22.132	0.6054	4.003509e+03	1.554145e+02	20.9939	0.0421	3.500	14.853	3.9063	26.2450	25.760	9.464854e+02	1.448597e+03	1.661378e+03	3.842341e+03	0.542	4.774	4.371	22.1597	24.0742	0.630	B	0	0	unmatched_318.28
185	2421.875	3278.829	21.5631117	-1.3806173	9.221	5.945	76.120	0.3552	2.973702e+03	2.141565e+02	21.3168	0.0782	3.500	9.768	2.5690	26.3400	13.886	2.731664e+02	6.166342e+02	9.752134e+02	1.502274e+03	NaN	NaN	NaN	NaN	NaN	0.562	B	0	0	unmatched_48.45
186	957.871	3269.771	21.6700950	-1.3812694	5.825	3.001	-37.124	0.4848	4.719664e+03	1.100784e+02	20.8152	0.0253	3.500	10.843	2.8518	25.4095	42.875	7.558765e+02	1.597055e+03	4.179885e+03	4.832523e+03	0.360	12.688	4.438	20.9577	24.5962	0.504	B	0	0	unmatched_168.29
187	2370.345	3288.094	21.5668773	-1.3799402	13.241	5.826	-56.583	0.5600	3.314555e+03	2.430584e+02	21.1989	0.0796	3.500	13.412	3.5274	26.8571	13.637	1.677889e+01	3.623852e+02	9.152663e+02	1.425817e+03	0.360	12.865	3.792	22.8477	26.5987	0.505	B	0	0	unmatched_59.33
